005F;Pc
0D0B;Lo
0D0C;Lo
0D0E;Lo
0D0F;Lo
0D10;Lo
0D12;Lo
0D13;Lo
0D14;Lo
0D15;Lo
0D16;Lo
0D17;Lo
0D18;Lo
0D19;Lo
0D1A;Lo
0D1B;Lo
0D1C;Lo
0D1D;Lo
0D1E;Lo
0D1F;Lo
0D20;Lo
0D21;Lo
0D22;Lo
0D23;Lo
0D24;Lo
0D25;Lo
0D26;Lo
0D27;Lo
0D28;Lo
0D29;Lo
0D2A;Lo
0D2B;Lo
0D2C;Lo
0D2D;Lo
0D2E;Lo
0D2F;Lo
0D30;Lo
0D31;Lo
0D32;Lo
0D33;Lo
0D34;Lo
0D35;Lo
0D36;Lo
0D37;Lo
0D38;Lo
0D39;Lo
0D3A;Lo
0D3D;Lo
0D3E;Mc
0D3F;Mc
0D40;Mc
0D46;Mc
0D47;Mc
0D48;Mc
0D4A;Mc
0D4B;Mc
0D4C;Mc
0D4E;Lo
0D57;Mc
0D5F;Lo
0D60;Lo
0D61;Lo
0D7A;Lo
0D7B;Lo
0D7C;Lo
0D7D;Lo
0D7E;Lo
0D7F;Lo
0D82;Mc
0D83;Mc
0D85;Lo
0D86;Lo
0D87;Lo
0D88;Lo
0D89;Lo
0D8A;Lo
0D8B;Lo
0D8C;Lo
0D8D;Lo
0D8E;Lo
0D8F;Lo
0D90;Lo
0D91;Lo
0D92;Lo
0D93;Lo
0D94;Lo
0D95;Lo
0D96;Lo
0D9A;Lo
0D9B;Lo
0D9C;Lo
0D9D;Lo
0D9E;Lo
0D9F;Lo
0DA0;Lo
0DA1;Lo
0DA2;Lo
0DA3;Lo
0DA4;Lo
0DA5;Lo
0DA6;Lo
0DA7;Lo
0DA8;Lo
0DA9;Lo
0DAA;Lo
0DAB;Lo
0DAC;Lo
0DAD;Lo
0DAE;Lo
0DAF;Lo
0DB0;Lo
0DB1;Lo
0DB3;Lo
0DB4;Lo
0DB5;Lo
0DB6;Lo
0DB7;Lo
0DB8;Lo
0DB9;Lo
